Version 3.14 Update - Professional Services and Supplies Charge Table,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Item Code,Code Type,Decription,Modifier,"Technical, Professional Indicator",Service Category Code,Primary/Bundled Indicator,Charge Type Indicator,Work Expense Units,Provider-Based Practice Expense Units,Non-Provider-Based Practice Expense Units,Total Expense Units, Anesthesia Base Units,Unit Charge,Base Charge,Unit Type,Facility Indicator,Outpatient Indicator,Inpatient Indicator,Skilled Nursing Facility Carveout,Freestanding Carve-out,Start Date,End Date
00211,CPT,ANES INTRACRANIAL CRANIOTOMY/CRANIECTOMY HMTMA,,,3 ,,Anesth,,,,,10.0,$1.00,$0.00,3,0,0,1,1,1,20140101,
00212,CPT,ANESTHESIA INTRACRANIAL PROCEDURE SUBDURAL TAPS,,,3 ,,Anesth,,,,,5.0,$1.00,$0.00,3,0,1,1,1,1,20140101,
00214,CPT,ANES INTRACRANIAL BURR HOLES W/VENTRICULOGRAPHY,,,3 ,,Anesth,,,,,9.0,$1.00,$0.00,3,0,0,1,1,1,20140101,
00215,CPT,ANES INTRACRANIAL/ELEVATION DEPRSD SKULL FX XDRL,,,3 ,,Anesth,,,,,9.0,$1.00,$0.00,3,0,0,1,1,1,20140101,
00216,CPT,ANESTHESIA INTRACRANIAL VASCULAR PROCEDURE,,,3 ,,Anesth,,,,,15.0,$1.00,$0.00,3,0,1,1,1,1,20140101,
00218,CPT,ANES INTRACRANIAL PROCEDURE IN SITTING POSITION,,,3 ,,Anesth,,,,,13.0,$1.00,$0.00,3,0,1,1,1,1,20140101,
00220,CPT,ANES INTRACRANIAL CEREBROSPINAL FLUID SHUNTING,,,3 ,,Anesth,,,,,10.0,$1.00,$0.00,3,0,1,1,1,1,20140101,
00222,CPT,ANES INTRACRANIAL ELECTROCOAGULATION ICRA NERVE,,,3 ,,Anesth,,,,,6.0,$1.00,$0.00,3,0,1,1,1,1,20140101,
00300,CPT,ANES INTEG MUSC & NRV HEAD NECK&POSTERIOR TRUNK,,,3 ,,Anesth,,,,,5.0,$1.00,$0.00,3,0,1,1,1,1,20140101,
00320,CPT,ANES ESOPH THYRD LARYNX TRACH & LYMPH NECK 1YR,,,3 ,,Anesth,,,,,6.0,$1.00,$0.00,3,0,1,1,1,1,20140101,
00322,CPT,ANES ESOPH THYRD LARX TRACH & LYMPH NCK BX THYRD,,,3 ,,Anesth,,,,,3.0,$1.00,$0.00,3,0,1,1,1,1,20140101,
00326,CPT,ANESTHESIA LARYNX & TRACHEA CHILDREN <1 YEAR,,,3 ,,Anesth,,,,,7.0,$1.00,$0.00,3,0,1,1,1,1,20140101,
00350,CPT,ANESTHESIA MAJOR VESSELS NECK NOS,,,3 ,,Anesth,,,,,10.0,$1.00,$0.00,3,0,1,1,1,1,20140101,
00352,CPT,ANESTHESIA MAJOR VESSELS NECK SIMPLE LIGATION,,,3 ,,Anesth,,,,,5.0,$1.00,$0.00,3,0,1,1,1,1,20140101,
00400,CPT,ANES INTEG EXTREMITIES ANT TRUNK & PERINEUM NOS,,,3 ,,Anesth,,,,,3.0,$1.00,$0.00,3,0,1,1,1,1,20140101,
00402,CPT,ANESTHESIA RECONSTRUCTION BREAST,,,3 ,,Anesth,,,,,5.0,$1.00,$0.00,3,0,1,1,1,1,20140101,
00404,CPT,ANESTHESIA RADICAL/MODIFIED RADICAL BREAST,,,3 ,,Anesth,,,,,5.0,$1.00,$0.00,3,0,1,1,1,1,20140101,
00406,CPT,ANES RADICAL/MODIFIED RADICAL BREAST W/NODES,,,3 ,,Anesth,,,,,13.0,$1.00,$0.00,3,0,1,1,1,1,20140101,
00410,CPT,ANES INTEG SYS ELEC CONVERSION ARRHYTHMIAS,,,3 ,,Anesth,,,,,4.0,$1.00,$0.00,3,0,1,1,1,1,20140101,
00450,CPT,ANESTHESIA CLAVICLE AND SCAPULA NOS,,,3 ,,Anesth,,,,,5.0,$1.00,$0.00,3,0,1,1,1,1,20140101,
00452,CPT,ANESTHESIA CLAVICLE & SCAPULA RADICAL SURGERY,,,3 ,,Anesth,,,,,6.0,$1.00,$0.00,3,0,0,1,1,1,20140101,
00454,CPT,ANESTHESIA CLAVICLE & SCAPULA BIOPSY CLAVICLE,,,3 ,,Anesth,,,,,3.0,$1.00,$0.00,3,0,1,1,1,1,20140101,
00470,CPT,ANESTHESIA PARTIAL RIB RESECTION NOS,,,3 ,,Anesth,,,,,6.0,$1.00,$0.00,3,0,1,1,1,1,20140101,
00472,CPT,ANESTHESIA PARTIAL RIB RESECTION THORACOPLASTY,,,3 ,,Anesth,,,,,10.0,$1.00,$0.00,3,0,1,1,1,1,20140101,
00474,CPT,ANESTHESIA PARTIAL RIB RESECTION RADICAL,,,3 ,,Anesth,,,,,13.0,$1.00,$0.00,3,0,0,1,1,1,20140101,
00500,CPT,ANESTHESIA ESOPHAGUS,,,3 ,,Anesth,,,,,15.0,$1.00,$0.00,3,0,1,1,1,1,20140101,
00520,CPT,ANESTHESIA CLOSED CHEST W/BRONCHOSCOPY NOS,,,3 ,,Anesth,,,,,6.0,$1.00,$0.00,3,0,1,1,1,1,20140101,
00522,CPT,ANESTHESIA CLOSED CHEST NEEDLE BIOPSY PLEURA,,,3 ,,Anesth,,,,,4.0,$1.00,$0.00,3,0,1,1,1,1,20140101,
00524,CPT,ANESTHESIA CLOSED CHEST PNEUMOCENTESIS,,,3 ,,Anesth,,,,,4.0,$1.00,$0.00,3,0,0,1,1,1,20140101,
00528,CPT,ANES MEDIASTINOSCOPY&THORACSCOPY W/O 1 LUNG VNTJ,,,3 ,,Anesth,,,,,8.0,$1.00,$0.00,3,0,1,1,1,1,20140101,
00529,CPT,ANES MEDIASTINOSCOPY&THORACOSCOPY W/1 LUNG VNT,,,3 ,,Anesth,,,,,11.0,$1.00,$0.00,3,0,1,1,1,1,20140101,
00530,CPT,ANES PERMANENT TRANSVENOUS PACEMAKER INSERTION,,,3 ,,Anesth,,,,,4.0,$1.00,$0.00,3,0,1,1,1,1,20140101,
00532,CPT,ANESTHESIA ACCESS CENTRAL VENOUS CIRCULATION,,,3 ,,Anesth,,,,,4.0,$1.00,$0.00,3,0,1,1,1,1,20140101,
00534,CPT,ANES TRANSVENOUS INSJ/REPLACEMENT PACING CVDFB,,,3 ,,Anesth,,,,,7.0,$1.00,$0.00,3,0,1,1,1,1,20140101,
00537,CPT,ANES CARDIAC ELECTROPHYSIOL STDY W/RF ABLATION,,,3 ,,Anesth,,,,,7.0,$1.00,$0.00,3,0,1,1,1,1,20140101,
00539,CPT,ANESTHESIA TRACHEOBRONCHIAL RECONSTRUCTION,,,3 ,,Anesth,,,,,18.0,$1.00,$0.00,3,0,1,1,1,1,20140101,
00540,CPT,ANES THORACOTOMY & THORACOSCOPY NOS,,,3 ,,Anesth,,,,,12.0,$1.00,$0.00,3,0,0,1,1,1,20140101,
00541,CPT,ANES THORACOTOMY & THORACOSCOPY W/1 LUNG VNTJ,,,3 ,,Anesth,,,,,15.0,$1.00,$0.00,3,0,1,1,1,1,20140101,
00542,CPT,ANES THORACOTOMY & THORACOSCOPY DECORTICATION,,,3 ,,Anesth,,,,,15.0,$1.00,$0.00,3,0,0,1,1,1,20140101,
00546,CPT,ANES THORACOTOMY & THORACOSCOPY PULMONARY RESC,,,3 ,,Anesth,,,,,15.0,$1.00,$0.00,3,0,0,1,1,1,20140101,
00548,CPT,ANES THORACOTOMY &THORACSCOPY TRACHEA & BRONCHI,,,3 ,,Anesth,,,,,17.0,$1.00,$0.00,3,0,1,1,1,1,20140101,
00550,CPT,ANESTHESIA FOR STERNAL DEBRIDEMENT,,,3 ,,Anesth,,,,,10.0,$1.00,$0.00,3,0,1,1,1,1,20140101,
00560,CPT,ANES HRT PERICARDIAL SAC& GRT VESLS W/O PMP OXT,,,3 ,,Anesth,,,,,15.0,$1.00,$0.00,3,0,0,1,1,1,20140101,
00561,CPT,ANES HRT PERICARD SAC&GREAT VSLS W/PMP OXTJ <1YR,,,3 ,,Anesth,,,,,25.0,$1.00,$0.00,3,0,0,1,1,1,20140101,
00562,CPT,ANES HRT PERICRD SAC&GRT VSLS W/PMP OXTJ >1MO PO,,,3 ,,Anesth,,,,,20.0,$1.00,$0.00,3,0,0,1,1,1,20140101,
00563,CPT,ANES HRT PRCRD SAC & GREAT VSL W/PUMP OXTJ HYPTH,,,3 ,,Anesth,,,,,25.0,$1.00,$0.00,3,0,1,1,1,1,20140101,
00566,CPT,ANES DIRECT CABG W/O PUMP OXYGENATOR,,,3 ,,Anesth,,,,,25.0,$1.00,$0.00,3,0,1,1,1,1,20140101,
00567,CPT,ANES DIRECT CABG W/PUMP OXYGENATOR,,,3 ,,Anesth,,,,,18.0,$1.00,$0.00,3,0,0,1,1,1,20140101,
00580,CPT,ANES HEART TRANSPLANT/HEART/LUNG TRANSPLANT,,,3 ,,Anesth,,,,,20.0,$1.00,$0.00,3,0,0,1,1,1,20140101,
00600,CPT,ANESTHESIA CERVICAL SPINE & CORD NOS,,,3 ,,Anesth,,,,,10.0,$1.00,$0.00,3,0,1,1,1,1,20140101,
00604,CPT,ANES CERVICAL SPINE & CORD W/PATIENT SITTING,,,3 ,,Anesth,,,,,13.0,$1.00,$0.00,3,0,0,1,1,1,20140101,
00620,CPT,ANESTHESIA THORACIC SPINE & CORD NOS,,,3 ,,Anesth,,,,,10.0,$1.00,$0.00,3,0,1,1,1,1,20140101,
00622,CPT,ANES THORACIC SPINE & CORD THORACOLUMBAR SYMPTH,,,3 ,,Anesth,,,,,13.0,$1.00,$0.00,3,0,0,1,1,1,20140101,
00625,CPT,ANES THRC SPINE & CORD ANT APPR W/O 1 LUNG VENTJ,,,3 ,,Anesth,,,,,13.0,$1.00,$0.00,3,0,1,1,1,1,20140101,
00626,CPT,ANES THORACIC SPINE & CORD ANT APPR W/1 LNG VENT,,,3 ,,Anesth,,,,,15.0,$1.00,$0.00,3,0,1,1,1,1,20140101,
00630,CPT,ANESTHESIA LUMBAR REGION NOS,,,3 ,,Anesth,,,,,8.0,$1.00,$0.00,3,0,1,1,1,1,20140101,
00632,CPT,ANESTHESIA LUMBAR REGION LUMBAR SYMPATHECTOMY,,,3 ,,Anesth,,,,,7.0,$1.00,$0.00,3,0,0,1,1,1,20140101,
00634,CPT,ANESTHESIA LUMBAR CHEMONUCLEOLYSIS,,,3 ,,Anesth,,,,,10.0,$1.00,$0.00,3,0,1,1,1,1,20140101,
00635,CPT,ANES DIAGNOSTIC/THERAPEUTIC LUMBAR PUNCTURE,,,3 ,,Anesth,,,,,4.0,$1.00,$0.00,3,0,1,1,1,1,20140101,
00640,CPT,ANES MANIPULATE SPINE/CLSD CRV THORC/LUMBR SPINE,,,3 ,,Anesth,,,,,3.0,$1.00,$0.00,3,0,1,1,1,1,20140101,
00670,CPT,ANESTHESIA EXTENSIVE SPINE & SPINAL CORD,,,3 ,,Anesth,,,,,13.0,$1.00,$0.00,3,0,0,1,1,1,20140101,
00700,CPT,ANESTHESIA UPPER ANTERIOR ABDOMINAL WALL NOS,,,3 ,,Anesth,,,,,4.0,$1.00,$0.00,3,0,1,1,1,1,20140101,
00702,CPT,ANES UPR ANT ABDL WALL PERCUTANEOUS LIVER BX,,,3 ,,Anesth,,,,,4.0,$1.00,$0.00,3,0,1,1,1,1,20140101,
00730,CPT,ANESTHESIA UPPER POSTERIOR ABDOMINAL WALL,,,3 ,,Anesth,,,,,5.0,$1.00,$0.00,3,0,1,1,1,1,20140101,
00740,CPT,ANES UPPER GI ENDOSCOPY PROXIMAL TO DUODENUM,,,3 ,,Anesth,,,,,5.0,$1.00,$0.00,3,0,1,1,1,1,20140101,
00750,CPT,ANESTHESIA HERNIA REPAIR UPPER ABDOMEN NOS,,,3 ,,Anesth,,,,,4.0,$1.00,$0.00,3,0,1,1,1,1,20140101,
00752,CPT,ANES HRNA RPR UPR ABD LMBR&VENTRAL HERNIA&DEHISC,,,3 ,,Anesth,,,,,6.0,$1.00,$0.00,3,0,1,1,1,1,20140101,
00754,CPT,ANES HERNIA REPAIR UPPER ABDOMEN OMPHALOCELE,,,3 ,,Anesth,,,,,7.0,$1.00,$0.00,3,0,1,1,1,1,20140101,
00756,CPT,ANES HRNA REPAIR UPR ABD TABDL RPR DIPHRG HRNA,,,3 ,,Anesth,,,,,7.0,$1.00,$0.00,3,0,1,1,1,1,20140101,
00770,CPT,ANESTHESIA MAJOR ABDOMINAL BLOOD VESSELS,,,3 ,,Anesth,,,,,15.0,$1.00,$0.00,3,0,1,1,1,1,20140101,
00790,CPT,ANES INTRAPERITONEAL UPPER ABDOMEN W/LAPS NOS,,,3 ,,Anesth,,,,,7.0,$1.00,$0.00,3,0,1,1,1,1,20140101,
00792,CPT,ANES LAPS PARTIAL HEPATECTOMY W/MGMT LIVER HEMOR,,,3 ,,Anesth,,,,,13.0,$1.00,$0.00,3,0,0,1,1,1,20140101,
00794,CPT,ANES LAPAROSCOPIC PARTIAL/TOTAL PANCREATECTOMY,,,3 ,,Anesth,,,,,8.0,$1.00,$0.00,3,0,0,1,1,1,20140101,
00796,CPT,ANES LAPAROSCOPIC LIVER TRANSPLANT,,,3 ,,Anesth,,,,,30.0,$1.00,$0.00,3,0,0,1,1,1,20140101,
00797,CPT,ANES IPR UPPER ABDOMEN LAPS GASTRIC RSTCV MO,,,3 ,,Anesth,,,,,11.0,$1.00,$0.00,3,0,1,1,1,1,20140101,
00800,CPT,ANESTHESIA LOWER ANTERIOR ABDOMINAL WALL NOS,,,3 ,,Anesth,,,,,4.0,$1.00,$0.00,3,0,1,1,1,1,20140101,
00802,CPT,ANES LOWER ANT ABDOMINAL WALL PANNICULECTOMY,,,3 ,,Anesth,,,,,5.0,$1.00,$0.00,3,0,0,1,1,1,20140101,
00810,CPT,ANES LOWER INTESTINE ENDOSCOPY DISTAL DUODENUM,,,3 ,,Anesth,,,,,5.0,$1.00,$0.00,3,0,1,1,1,1,20140101,
00820,CPT,ANESTHESIA LOWER POSTERIOR ABDOMINAL WALL,,,3 ,,Anesth,,,,,5.0,$1.00,$0.00,3,0,1,1,1,1,20140101,
00830,CPT,ANESTHESIA HERNIA REPAIR LOWER ABDOMEN NOS,,,3 ,,Anesth,,,,,4.0,$1.00,$0.00,3,0,1,1,1,1,20140101,
00832,CPT,ANES LWR ABD VENTRAL & INCISIONAL HERNIA REPAIR,,,3 ,,Anesth,,,,,6.0,$1.00,$0.00,3,0,1,1,1,1,20140101,
00834,CPT,ANES HERNIA REPAIR LOWER ABDOMEN NOS & 1YR AGE,,,3 ,,Anesth,,,,,5.0,$1.00,$0.00,3,0,1,1,1,1,20140101,
00836,CPT,ANES HRNA RPR LWR ABD NOS INFTS <37WK BRTH/50WK,,,3 ,,Anesth,,,,,6.0,$1.00,$0.00,3,0,1,1,1,1,20140101,
00840,CPT,ANESTHESIA INTRAPERITONEAL LOWER ABD W/LAPS NOS,,,3 ,,Anesth,,,,,6.0,$1.00,$0.00,3,0,1,1,1,1,20140101,
00842,CPT,ANES IPER LOWER ABDOMEN W/LAPS AMNIOCENTESIS,,,3 ,,Anesth,,,,,4.0,$1.00,$0.00,3,0,1,1,1,1,20140101,
00844,CPT,ANES IPER LOWER ABD W/LAPS ABDOMINOPRNL RESCJ,,,3 ,,Anesth,,,,,7.0,$1.00,$0.00,3,0,0,1,1,1,20140101,
00846,CPT,ANES IPER LOWER ABD W/LAPS RAD HYSTERECTOMY,,,3 ,,Anesth,,,,,8.0,$1.00,$0.00,3,0,0,1,1,1,20140101,
00848,CPT,ANES IPER LOWER ABD W/LAPS PELVIC EXENTERATION,,,3 ,,Anesth,,,,,8.0,$1.00,$0.00,3,0,0,1,1,1,20140101,
00851,CPT,ANES IPER LWR ABD W/LAPS TUBAL LIGATION/TRANSECT,,,3 ,,Anesth,,,,,6.0,$1.00,$0.00,3,0,1,1,1,1,20140101,
00860,CPT,ANES EXTRAPERITONEAL LWR ABD W/URINARY TRACT NOS,,,3 ,,Anesth,,,,,6.0,$1.00,$0.00,3,0,1,1,1,1,20140101,
00862,CPT,ANES XTRPRTL LOWER ABD UR TRACT RENAL DON NFRCT,,,3 ,,Anesth,,,,,7.0,$1.00,$0.00,3,0,1,1,1,1,20140101,
00864,CPT,ANES XTRPRTL LWER ABD W/URINARY TRACT TOT CYSTEC,,,3 ,,Anesth,,,,,8.0,$1.00,$0.00,3,0,0,1,1,1,20140101,
00865,CPT,ANES XTRPRTL LWR ABD W/URINARY TRACT RAD PRSTECT,,,3 ,,Anesth,,,,,7.0,$1.00,$0.00,3,0,0,1,1,1,20140101,
00866,CPT,ANES XTRPRTL LOWER ABD W/URIN TRACT ADRENLECTOMY,,,3 ,,Anesth,,,,,10.0,$1.00,$0.00,3,0,0,1,1,1,20140101,
00868,CPT,ANES XTRPRTL LWR ABD W/URIN TRACT RENAL TRANSPL,,,3 ,,Anesth,,,,,10.0,$1.00,$0.00,3,0,0,1,1,1,20140101,
00870,CPT,ANES XTRPRTL LWR ABD W/URIN TRACT CSTOLITHOTOMY,,,3 ,,Anesth,,,,,5.0,$1.00,$0.00,3,0,1,1,1,1,20140101,
00872,CPT,ANES LITHOTRP XTRCORP SHOCK WAVE W/WATER BATH,,,3 ,,Anesth,,,,,7.0,$1.00,$0.00,3,0,1,1,1,1,20140101,
00873,CPT,ANES LITHOTRP XTRCORP SHOCK WAVE W/O WATER BATH,,,3 ,,Anesth,,,,,5.0,$1.00,$0.00,3,0,1,1,1,1,20140101,
00880,CPT,ANESTHESIA MAJOR LOWER ABDOMINAL VESSELS NOS,,,3 ,,Anesth,,,,,15.0,$1.00,$0.00,3,0,1,1,1,1,20140101,
00882,CPT,ANES MAJOR LOWER ABDOMINAL VESSELS IVC LIGATION,,,3 ,,Anesth,,,,,10.0,$1.00,$0.00,3,0,0,1,1,1,20140101,
00902,CPT,ANESTHESIA ANORECTAL PROCEDURE,,,3 ,,Anesth,,,,,5.0,$1.00,$0.00,3,0,1,1,1,1,20140101,
00904,CPT,ANESTHESIA RADICAL PERINEAL PROCEDURE,,,3 ,,Anesth,,,,,7.0,$1.00,$0.00,3,0,0,1,1,1,20140101,
00906,CPT,ANESTHESIA VULVECTOMY,,,3 ,,Anesth,,,,,4.0,$1.00,$0.00,3,0,1,1,1,1,20140101,
00908,CPT,ANESTHESIA PERINEAL PROSTATECTOMY,,,3 ,,Anesth,,,,,6.0,$1.00,$0.00,3,0,0,1,1,1,20140101,
00910,CPT,ANES TRANSURETHRAL W/URETHROCYSTOSCOPY NOS,,,3 ,,Anesth,,,,,3.0,$1.00,$0.00,3,0,1,1,1,1,20140101,
00912,CPT,ANES TRANSURETHRAL RESECTION OF BLADDER TUMOR,,,3 ,,Anesth,,,,,5.0,$1.00,$0.00,3,0,1,1,1,1,20140101,
00914,CPT,ANESTHESIA TRANSURETHRAL RESECTION OF PROSTATE,,,3 ,,Anesth,,,,,5.0,$1.00,$0.00,3,0,1,1,1,1,20140101,
00916,CPT,ANES TRURL POST-TRURL RESECTION BLEEDING,,,3 ,,Anesth,,,,,5.0,$1.00,$0.00,3,0,1,1,1,1,20140101,
00918,CPT,ANES TRURL FRAGMNTJ MANJ&/RMVL URETERAL CALCULUS,,,3 ,,Anesth,,,,,5.0,$1.00,$0.00,3,0,1,1,1,1,20140101,
00920,CPT,ANESTHESIA MALE GENITALIA INCL OPEN URETHRAL PX,,,3 ,,Anesth,,,,,3.0,$1.00,$0.00,3,0,1,1,1,1,20140101,
00921,CPT,ANES VASECTOMY UNI/BI INCL OPEN URETHRAL PX,,,3 ,,Anesth,,,,,3.0,$1.00,$0.00,3,0,1,1,1,1,20140101,
00922,CPT,ANES SEMINAL VESICLES INCL OPEN URETHRAL PX,,,3 ,,Anesth,,,,,6.0,$1.00,$0.00,3,0,1,1,1,1,20140101,
00924,CPT,ANES UNDSCND TESTIS UNI/BI INCL OPEN URTL PX,,,3 ,,Anesth,,,,,4.0,$1.00,$0.00,3,0,1,1,1,1,20140101,
00926,CPT,ANES RAD ORCHIECTOMY INGUN INCL OPEN URTL PX,,,3 ,,Anesth,,,,,4.0,$1.00,$0.00,3,0,1,1,1,1,20140101,
00928,CPT,ANES RAD ORCHIECTOMY ABDOMINAL INCL OPN URTL,,,3 ,,Anesth,,,,,6.0,$1.00,$0.00,3,0,1,1,1,1,20140101,
00930,CPT,ANES ORCHIOPEXY UNI/BI INCL OPEN URETHRAL PX,,,3 ,,Anesth,,,,,4.0,$1.00,$0.00,3,0,1,1,1,1,20140101,
00932,CPT,ANES COMPLETE AMPUTATION PENIS INCL OPEN URTL,,,3 ,,Anesth,,,,,4.0,$1.00,$0.00,3,0,0,1,1,1,20140101,
00934,CPT,ANES RAD AMP PENIS W/BI INGUINAL LYMPH NODE RMVL,,,3 ,,Anesth,,,,,6.0,$1.00,$0.00,3,0,0,1,1,1,20140101,
00936,CPT,ANES RAD AMP PENIS W/BI INGUNL&ILIAC LYMPH RMOVL,,,3 ,,Anesth,,,,,8.0,$1.00,$0.00,3,0,0,1,1,1,20140101,
00938,CPT,ANES INSJ PENILE PROSTH PRNL INCL OPEN URTL,,,3 ,,Anesth,,,,,4.0,$1.00,$0.00,3,0,1,1,1,1,20140101,
00940,CPT,ANESTHESIA VAGINAL PROCEDURE W/BIOPSY NOS,,,3 ,,Anesth,,,,,3.0,$1.00,$0.00,3,0,1,1,1,1,20140101,
00942,CPT,ANES COLPTMY VAGNC COLPRPHY INCL BX W/OPN URTL,,,3 ,,Anesth,,,,,4.0,$1.00,$0.00,3,0,1,1,1,1,20140101,
00944,CPT,ANESTHESIA VAGINAL HYSTERECTOMY INCL BIOPSY,,,3 ,,Anesth,,,,,6.0,$1.00,$0.00,3,0,0,1,1,1,20140101,
00948,CPT,ANESTHESIA CERVICAL CERCLAGE INCLUDING BIOPSY,,,3 ,,Anesth,,,,,4.0,$1.00,$0.00,3,0,1,1,1,1,20140101,
00950,CPT,ANESTHESIA CULDOSCOPY INCLUDING BIOPSY,,,3 ,,Anesth,,,,,5.0,$1.00,$0.00,3,0,1,1,1,1,20140101,
00952,CPT,ANES HYSTEROSCOPY&/HYSTEROSALPINGOGRAPHY W/BX,,,3 ,,Anesth,,,,,4.0,$1.00,$0.00,3,0,1,1,1,1,20140101,
01112,CPT,ANES BONE MARROW ASPIR&/BX ANT/PST ILIAC CREST,,,3 ,,Anesth,,,,,5.0,$1.00,$0.00,3,0,1,1,1,1,20140101,
01120,CPT,ANESTHESIA ON BONY PELVIS,,,3 ,,Anesth,,,,,6.0,$1.00,$0.00,3,0,1,1,1,1,20140101,
01130,CPT,ANESTHESIA BODY CAST APPLICATION OR REVISION,,,3 ,,Anesth,,,,,3.0,$1.00,$0.00,3,0,1,1,1,1,20140101,
01140,CPT,ANESTHESIA INTERPELVI ABDOMINAL AMPUTATION,,,3 ,,Anesth,,,,,15.0,$1.00,$0.00,3,0,0,1,1,1,20140101,
01150,CPT,ANES RADICAL TUMOR PELVIS XCP HINDQUARTER AMP,,,3 ,,Anesth,,,,,10.0,$1.00,$0.00,3,0,0,1,1,1,20140101,
01160,CPT,ANES CLOSED SYMPHYSIS PUBIS/SACROILIAC JOINT,,,3 ,,Anesth,,,,,4.0,$1.00,$0.00,3,0,1,1,1,1,20140101,
