INTEGRATION REFERENCES LIST                    MAR 18,2015  11:22    PAGE 1
       151  MAR 26,1992  NATIONAL DRUG FILE
       153  APR 20,1992  QUALITY ASSURANCE INTEGRATION
       154  APR 27,1992  REGISTRATION
       155  APR 29,1992  LAB SERVICE
       156  MAY 21,1992  REGISTRATION
       157  MAY 21,1992  TEXT INTEGRATION UTILITIES
       160  JUN  8,1992  REGISTRATION
       161  JUN  8,1992  MENTAL HEALTH
       162  JUN  8,1992  LAB SERVICE
       163  JUN  8,1992  RADIOLOGY/NUCLEAR MEDICINE
       164  JUN  4,1992  HEALTH SUMMARY
       165  JUN 15,1992  ORDER ENTRY/RESULTS REPORTING
       166  JUN 10,1992  HEALTH SUMMARY
       167  JUN 15,1992  KERNEL
       170  JUN 17,1992  KERNEL
       171  JUN 17,1992  VA FILEMAN
       172  JUN 17,1992  DSS EXTRACTS
       173  JUN 17,1992  REGISTRATION
       174  JUN 18,1992  REGISTRATION
       175  JUN 18,1992  REGISTRATION
       176  JUN 18,1992  REGISTRATION
       177  JUN 18,1992  KERNEL
       178  JUN 18,1992  KERNEL
       180  JUN 18,1992  VA FILEMAN
       181  JUN 19,1992  ORDER ENTRY/RESULTS REPORTING
       182  JUL 14,1992  VA FILEMAN
       185  JUL 16,1992  SURGERY
       186  JUL 22,1992  REGISTRATION
       187  JUL 22,1992  REGISTRATION
       190  AUG  6,1992  ADVERSE REACTION TRACKING
       193  SEP 15,1992  ACCOUNTS RECEIVABLE
       194  SEP 15,1992  LAB SERVICE
       196  SEP 24,1992  LAB SERVICE
       197  OCT  7,1992  LAB SERVICE
       198  NOV 24,1992  IFCAP
       200  DEC 14,1992  KERNEL
       201  DEC 15,1992  EXTERNAL PEER REVIEW
       202  JAN 21,1993  RECORD TRACKING
       205  JAN 29,1993  EVENT CAPTURE
       206  JAN 29,1993  INPATIENT MEDICATIONS
       207  FEB  3,1993  LAB SERVICE
       208  FEB 18,1993  PHARMACY DATA MANAGEMENT
       209  FEB 18,1993  NATIONAL DRUG FILE
       210  FEB 18,1993  LAB SERVICE
       211  FEB 18,1993  LAB SERVICE
       212  FEB 18,1993  OUTPATIENT PHARMACY
       213  FEB 18,1993  AUTO REPLENISHMENT/WARD STOCK
       214  FEB 22,1993  IFCAP
       215  FEB 24,1993  CONTROLLED SUBSTANCES
       218  MAR  4,1993  REGISTRATION
       219  MAR  4,1993  INCOMPLETE RECORDS TRACKING
       220  MAR 24,1993  REGISTRATION
       221  MAY 24,1999  PHARMACY DATA MANAGEMENT
       223  APR 21,1993  DRUG ACCOUNTABILITY
       224  APR 21,1993  KERNEL
       227  MAY  5,1993  IFCAP
       228  MAY 12,1993  INTEGRATED BILLING
       229  MAY 18,1993  VA FILEMAN
       230  MAY 18,1993  KERNEL
       231  MAY 18,1993  KERNEL
       232  MAY 18,1993  KERNEL
       233  MAY 18,1993  VA FILEMAN
       234  MAY 18,1993  KERNEL
       237  JUN 15,1993  OUTPATIENT PHARMACY
       238  JUN 15,1993  RADIOLOGY/NUCLEAR MEDICINE
       239  JUN 15,1993  MAILMAN
       240  JUN 15,1993  LAB SERVICE
       241  JUN 15,1993  KERNEL
       242  JUN 15,1993  HEALTH SUMMARY
       244  JUN 15,1993  REGISTRATION
       245  JUN 28,1993  IFCAP
       246  JUN 28,1993  IFCAP
       248  DEC  1,1991  MAILMAN
       249  FEB  1,1992  EVENT CAPTURE
       250  JUL 20,1993  SURGERY
       251  JUL 20,1993  KERNEL
       252  JUL 20,1993  LAB SERVICE
       253  JUL 26,1993  HEALTH SUMMARY
       254  JUL 26,1993  OUTPATIENT PHARMACY
       255  JUL 28,1993  VA FILEMAN
       256  JUL 28,1993  RADIOLOGY/NUCLEAR MEDICINE
       257  JUL 28,1993  INTEGRATED BILLING
       258  JUL 28,1993  RECORD TRACKING
       259  AUG  3,1993  IFCAP
       260  AUG  9,1993  REGISTRATION
       262  AUG  9,1993  VA FILEMAN
       263  AUG 10,1993  REGISTRATION
       264  AUG 10,1993  KERNEL
       266  AUG 25,1993  SCHEDULING
       267  AUG 25,1993  KERNEL
       268  AUG 25,1993  REGISTRATION
       269  AUG 26,1993  AUTO REPLENISHMENT/WARD STOCK
       270  AUG 26,1993  PHARMACY DATA MANAGEMENT
       271  AUG 27,1993  INTEGRATED BILLING
       272  AUG 27,1993  PATIENT DATA EXCHANGE
       274  SEP  9,1993  HEALTH SUMMARY
       277  SEP 13,1993  REGISTRATION
       278  SEP 13,1993  NURSING SERVICE
       279  SEP 13,1993  TEXT INTEGRATION UTILITIES
       282  SEP 20,1993  IFCAP
       283  OCT  5,1993  ACCOUNTS RECEIVABLE
       284  OCT  5,1993  ACCOUNTS RECEIVABLE
       286  OCT  5,1993  MAILMAN
       287  OCT  5,1993  FEE BASIS
       288  OCT  5,1993  HEALTH SUMMARY
       289  OCT 12,1993  KERNEL
       290  OCT 12,1993  KERNEL
       294  OCT 21,1993  REGISTRATION
       295  OCT 21,1993  KERNEL
       296  OCT 21,1993  INPATIENT MEDICATIONS
       297  OCT 25,1993  HEALTH SUMMARY
       298  OCT 25,1993  PATIENT DATA EXCHANGE
       299  OCT 25,1993  VA FILEMAN
       300  OCT 25,1993  INTEGRATED BILLING
       301  OCT 25,1993  INTEGRATED BILLING
       302  OCT 25,1993  PHARMACY DATA MANAGEMENT
       304  OCT 27,1993  INTEGRATED BILLING
       305  OCT 27,1993  KERNEL
       306  OCT 27,1993  INTEGRATED BILLING
       307  OCT 27,1993  INTEGRATED BILLING
       308  OCT 27,1993  INTEGRATED BILLING
       309  OCT 27,1993  INTEGRATED BILLING
       310  OCT 27,1993  INTEGRATED BILLING
       311  NOV  1,1993  REGISTRATION
       312  NOV  1,1993  REGISTRATION
       313  NOV  1,1993  REGISTRATION
       314  NOV  1,1993  VA FILEMAN
       315  NOV  1,1993  IFCAP
       316  NOV  1,1993  VA FILEMAN
       317  NOV  2,1993  VETERANS ADMINISTRATION
       318  NOV  3,1993  IFCAP
       319  NOV  2,1993  IFCAP
       322  DEC  7,1993  REGISTRATION
       323  DEC 16,1993  KERNEL
       324  DEC 23,1993  INTEGRATED BILLING
       325  DEC 23,1993  REGISTRATION
       326  JAN 11,1994  INDIAN HEALTH SERVICE
       327  JAN 11,1994  VA FILEMAN
       328  JAN 11,1994  OUTPATIENT PHARMACY
       329  JAN 12,1994  VA FILEMAN
       330  JAN 12,1994  OUTPATIENT PHARMACY
       331  JAN 12,1994  KERNEL
       332  JAN 14,1994  KERNEL
       333  JAN 14,1994  LAB SERVICE
       334  JAN 14,1994  KERNEL
       336  JAN 18,1994  AUTOMATED INFO COLLECTION SYS
       337  JAN 18,1994  HEALTH SUMMARY
       338  JAN 18,1994  HEALTH SUMMARY
       341  JUN 25,2003  SCHEDULING
       342  JAN 24,1994  KERNEL
       343  JAN 25,1994  KERNEL
       345  FEB  2,1994  VA FILEMAN
       346  FEB  4,1994  TOOLKIT
       347  FEB  7,1994  ORDER ENTRY/RESULTS REPORTING
       348  FEB 11,1994  REGISTRATION
       349  FEB 17,1994  HEALTH SUMMARY
       350  FEB 28,1994  REGISTRATION
       352  FEB 28,1994  VA FILEMAN
       353  FEB 28,1994  IFCAP
       354  FEB 28,1994  PROBLEM LIST
       355  MAR  3,1994  SCHEDULING
       357  MAR  3,1994  REGISTRATION
       358  MAR  3,1994  REGISTRATION
       359  MAR  3,1994  REGISTRATION
       360  MAR  3,1994  REGISTRATION
       361  MAR  3,1994  REGISTRATION
       362  MAR  3,1994  REGISTRATION
       363  MAR  3,1994  REGISTRATION
       366  MAR  3,1994  REGISTRATION
       367  MAR  9,1994  LIST MANAGER
       371  MAR  9,1994  DRG GROUPER
       372  MAR  9,1994  KERNEL
       373  MAR 15,1994  PROSTHETICS
       374  MAR 15,1994  PROSTHETICS
       376  MAR 15,1994  IFCAP
       377  MAR 15,1994  IFCAP
       378  MAR 15,1994  IFCAP
       379  MAR 15,1994  HINQ
       380  MAR 15,1994  ACCOUNTS RECEIVABLE
       381  MAR 15,1994  ACCOUNTS RECEIVABLE
       382  MAR 15,1994  ACCOUNTS RECEIVABLE
       383  MAR 15,1994  ACCOUNTS RECEIVABLE
       384  MAR 15,1994  ACCOUNTS RECEIVABLE
       385  MAR 15,1994  ACCOUNTS RECEIVABLE
       386  MAR 15,1994  ACCOUNTS RECEIVABLE
       387  MAR 15,1994  ACCOUNTS RECEIVABLE
       388  MAR 15,1994  ACCOUNTS RECEIVABLE
       389  MAR 15,1994  ACCOUNTS RECEIVABLE
       390  MAR 16,1994  IFCAP
       391  MAR 16,1994  TOOLKIT
       392  MAR 16,1994  TOOLKIT
       393  MAR 16,1994  TOOLKIT
       394  MAR 16,1994  TOOLKIT
       395  MAR 23,1994  VA FILEMAN
       396  APR  4,1994  INTEGRATED BILLING
       397  APR  4,1994  SCHEDULING
       398  APR  4,1994  SCHEDULING
       399  APR  4,1994  SCHEDULING
       400  APR  4,1994  SCHEDULING
       402  APR  4,1994  SCHEDULING
       406  JUN 30,2003  SCHEDULING
       407  APR  4,1994  SCHEDULING
       409  APR  4,1994  SCHEDULING
       410  APR  4,1994  SCHEDULING
       412  APR  5,1994  HINQ
       413  APR  5,1994  REGISTRATION
       414  APR  5,1994  REGISTRATION
       415  APR  5,1994  REGISTRATION
       416  APR  5,1994  REGISTRATION
       417  APR  5,1994  REGISTRATION
       418  APR  5,1994  REGISTRATION
       419  APR  5,1994  REGISTRATION
       420  APR  5,1994  REGISTRATION
       421  APR  5,1994  REGISTRATION
       422  APR  5,1994  REGISTRATION
       423  APR  5,1994  REGISTRATION
       424  APR  5,1994  REGISTRATION
       425  APR  5,1994  REGISTRATION
       426  APR  5,1994  REGISTRATION
       427  APR  5,1994  REGISTRATION
       428  APR  5,1994  REGISTRATION
       429  APR  5,1994  REGISTRATION
       430  APR  5,1994  REGISTRATION
       431  APR  5,1994  REGISTRATION
       432  APR  5,1994  KERNEL
       433  APR  5,1994  REGISTRATION
       434  APR  5,1994  REGISTRATION
       435  APR 11,1994  INPATIENT MEDICATIONS
       436  APR 11,1994  PHARMACY DATA MANAGEMENT
       437  APR 11,1994  PHARMACY DATA MANAGEMENT
       438  APR 11,1994  INPATIENT MEDICATIONS
       439  APR 11,1994  PATIENT DATA EXCHANGE
       440  APR 11,1994  PATIENT DATA EXCHANGE
       441  APR 11,1994  PATIENT DATA EXCHANGE
       443  APR 11,1994  PATIENT DATA EXCHANGE
       444  APR 11,1994  PATIENT DATA EXCHANGE
       445  APR 11,1994  PATIENT DATA EXCHANGE
       446  APR 12,1994  PCE PATIENT CARE ENCOUNTER
       447  APR 12,1994  PCE PATIENT CARE ENCOUNTER
       449  APR 12,1994  VA FILEMAN
       452  APR 12,1994  SCHEDULING
       456  APR 12,1994  AUTO REPLENISHMENT/WARD STOCK
       457  APR 26,1994  LEXICON UTILITY
       458  APR 25,1994  IMAGING
       459  APR 25,1994  IMAGING
       460  APR 25,1994  IMAGING
       461  APR 25,1994  IMAGING
       462  MAY  3,1994  IMAGING
       463  MAY  3,1994  IMAGING
       464  APR 25,1994  IMAGING
       465  APR 26,1994  OUTPATIENT PHARMACY
       470  OCT 20,2003  IMAGING
       472  APR 26,1994  INPATIENT MEDICATIONS
       475  APR 26,1994  INPATIENT MEDICATIONS
       479  MAY  2,1994  SCHEDULING
       480  MAY  2,1994  REGISTRATION
       482  MAY  2,1994  REGISTRATION
       483  MAY  2,1994  REGISTRATION
       484  MAY  2,1994  REGISTRATION
       485  MAY  2,1994  REGISTRATION
       486  JUN 24,1994  INPATIENT MEDICATIONS
       488  MAY 11,1994  VA FILEMAN
       489  SEP 18,1995  PCE PATIENT CARE ENCOUNTER
       491  JUN 13,1994  KERNEL
       492  JUN 13,1994  IFCAP
       500  FEB 23,1990  RADIOLOGY/NUCLEAR MEDICINE
       501  FEB 23,1990  RADIOLOGY/NUCLEAR MEDICINE
       502  FEB 23,1990  RADIOLOGY/NUCLEAR MEDICINE
       503  FEB 23,1990  RADIOLOGY/NUCLEAR MEDICINE
       504  FEB 23,1990  RADIOLOGY/NUCLEAR MEDICINE
       507  JUL 27,1989  KERNEL
       508  JUL 27,1989  VA FILEMAN
       510  JUL 27,1989  VA FILEMAN
       511  JUL 27,1989  VA FILEMAN
       512  MAR 12,1990  REGISTRATION
       513  MAR  1,1994  REGISTRATION
       514  NOV 14,1989  REGISTRATION
       515  NOV 14,1989  SCHEDULING
       519  MAR 22,1989  REGISTRATION
       524  JAN 31,1991  LAB SERVICE
       525  JAN 31,1991  LAB SERVICE
       526  JAN 31,1991  LAB SERVICE
       527  JAN 31,1991  LAB SERVICE
       528  JAN 31,1991  LAB SERVICE
       529  JAN 31,1991  LAB SERVICE
       530  JAN 31,1991  LAB SERVICE
       531  JAN 31,1991  LAB SERVICE
       532  JAN 31,1991  LAB SERVICE
       534  JAN 31,1991  INPATIENT MEDICATIONS
       537  JAN 31,1991  PHARMACY DATA MANAGEMENT
       539  FEB  4,1991  MENTAL HEALTH
       540  FEB  5,1991  CLINICAL PROCEDURES
       541  FEB  5,1991  CLINICAL PROCEDURES
       542  FEB  5,1991  CLINICAL PROCEDURES
       543  JUL  9,1991  RECORD TRACKING
       544  JUL  9,1991  RECORD TRACKING
       545  JUL  9,1991  RECORD TRACKING
       546  JUL  9,1991  RECORD TRACKING
       547  JUL 10,1991  REGISTRATION
       548  JUL 10,1991  REGISTRATION
       549  JUL 10,1991  REGISTRATION
       550  JUL 10,1991  REGISTRATION
       551  AUG  6,1991  GRECC
       554  OCT 28,1997  LAB SERVICE
       555  OCT 28,1997  LAB SERVICE
       557  SEP 11,1991  SCHEDULING
       558  SEP 24,1991  LAB SERVICE
       559  SEP 24,1991  LAB SERVICE
       560  AUG 26,1991  KERNEL
       561  MAR 20,1991  KERNEL
       563  JUL 28,1991  SURGERY
       565  JUN 22,2005  REGISTRATION
       581  MAY 14,1991  REGISTRATION
       583  AUG 24,1991  RECORD TRACKING
       584  AUG 24,1991  RECORD TRACKING
       585  AUG 24,1991  RECORD TRACKING
       586  OCT 30,1991  RADIOLOGY/NUCLEAR MEDICINE
       587  OCT 30,1991  RADIOLOGY/NUCLEAR MEDICINE
       590  NOV  6,1991  PHARMACY DATA MANAGEMENT
       592  NOV  6,1991  INTEGRATED BILLING
       593  NOV  6,1991  IFCAP
       594  NOV  6,1991  IFCAP
       596  NOV  6,1991  IFCAP
       599  NOV  6,1991  IFCAP
       600  NOV  6,1991  IFCAP
       601  NOV 20,1991  KERNEL
       602  DEC  4,1991  REGISTRATION
       603  DEC  4,1991  HINQ
       604  DEC  4,1991  REGISTRATION
       606  DEC  5,1991  REGISTRATION
       612  JAN 23,1992  INTEGRATED BILLING
       613  JAN 23,1992  REGISTRATION
       614  MAR  5,1992  ORDER ENTRY/RESULTS REPORTING
       615  MAR 11,1992  CLINICAL PROCEDURES
       616  MAR 11,1992  CLINICAL PROCEDURES
       617  FEB 27,1995  NATIONAL DRUG FILE
       619  FEB 27,1995  PHARMACY DATA MANAGEMENT
       620  APR 20,1992  QUALITY ASSURANCE INTEGRATION
       625  JUN  8,1992  REGISTRATION
       626  JUN  8,1992  RADIOLOGY/NUCLEAR MEDICINE
       627  JUN 15,1992  ORDER ENTRY/RESULTS REPORTING
       628  JUN 15,1992  ORDER ENTRY/RESULTS REPORTING
       629  JUN 15,1992  ORDER ENTRY/RESULTS REPORTING
       630  JUN 15,1992  ORDER ENTRY/RESULTS REPORTING
       631  JUN 15,1992  ORDER ENTRY/RESULTS REPORTING
       633  JUN 17,1992  KERNEL
       635  JUN 19,1992  ORDER ENTRY/RESULTS REPORTING
       636  JUN 19,1992  ORDER ENTRY/RESULTS REPORTING
       637  JUN 19,1992  ORDER ENTRY/RESULTS REPORTING
       638  JUN 19,1992  ORDER ENTRY/RESULTS REPORTING
       639  JUN 19,1992  ORDER ENTRY/RESULTS REPORTING
       640  JUN 19,1992  ORDER ENTRY/RESULTS REPORTING
       641  JUL 16,1992  SURGERY
       642  JUL 22,1992  REGISTRATION
       643  JUL 22,1992  REGISTRATION
       644  JUL 22,1992  REGISTRATION
       645  JUL 22,1992  INTEGRATED BILLING
       646  JUL 22,1992  REGISTRATION
       649  JUL 22,1992  REGISTRATION
       651  JUL 22,1992  REGISTRATION
       652  JUL 22,1992  REGISTRATION
       653  JUL 22,1992  REGISTRATION
       654  JUL 22,1992  REGISTRATION
       655  JUL 22,1992  REGISTRATION
       656  JUL 22,1992  REGISTRATION
       657  JUL 22,1992  REGISTRATION
       658  JUL 22,1992  HINQ
       664  JUL 22,1992  REGISTRATION
       668  JUL 22,1992  SCHEDULING
       669  JUL 22,1992  SCHEDULING
       672  AUG  6,1992  ADVERSE REACTION TRACKING
       673  AUG  6,1992  ADVERSE REACTION TRACKING
       674  AUG 18,1992  PHARMACY DATA MANAGEMENT
       675  AUG 18,1992  OUTPATIENT PHARMACY
       676  AUG 18,1992  PHARMACY DATA MANAGEMENT
       679  AUG 18,1992  PHARMACY DATA MANAGEMENT
       680  SEP 24,1992  LAB SERVICE
       681  SEP 24,1992  LAB SERVICE
       682  NOV 24,1992  IFCAP
       684  FEB 18,1993  LAB SERVICE
       685  FEB 18,1993  LAB SERVICE
       686  FEB 18,1993  LAB SERVICE
       687  FEB 18,1993  LAB SERVICE
       688  MAR  4,1993  REGISTRATION
       689  MAR  4,1993  REGISTRATION
       690  MAR  4,1993  REGISTRATION
       691  MAR  4,1993  REGISTRATION
       692  APR 21,1993  NATIONAL DRUG FILE
       694  APR 21,1993  PHARMACY DATA MANAGEMENT
       696  APR 21,1993  NATIONAL DRUG FILE
       698  APR 21,1993  IFCAP
       699  MAY  3,1993  REGISTRATION
       700  MAY  3,1993  REGISTRATION
       701  MAY  3,1993  REGISTRATION
       702  MAY  3,1993  REGISTRATION
       703  MAY  3,1993  REGISTRATION
       704  MAY  5,1993  IFCAP
       705  MAY 12,1993  INTEGRATED BILLING
       706  MAY 18,1993  VA FILEMAN
       707  JUN 15,1993  OUTPATIENT PHARMACY
       708  JUN 15,1993  RADIOLOGY/NUCLEAR MEDICINE
       710  JUN 15,1993  LAB SERVICE
       711  JUN 15,1993  MAILMAN
       713  JUN 15,1993  KERNEL
       714  JUN 15,1993  KERNEL
       715  JUN 15,1993  LAB SERVICE
       716  JUN 15,1993  LAB SERVICE
       717  JUN 15,1993  HEALTH SUMMARY
       723  JUN 15,1993  REGISTRATION
       728  JUN 15,1993  REGISTRATION
       729  JUN 15,1993  REGISTRATION
       730  JUN 15,1993  REGISTRATION
       731  JUN 15,1993  REGISTRATION
       732  JUN 15,1993  REGISTRATION
       733  JUN 15,1993  HINQ
       734  JUN 15,1993  REGISTRATION
       738  JUN 15,1993  KERNEL
       740  JUN 15,1993  REGISTRATION
       741  JUN 15,1993  REGISTRATION
       742  JUL 20,1993  KERNEL
       743  JUL 20,1993  LAB SERVICE
       744  JUL 26,1993  HEALTH SUMMARY
       745  JUL 26,1993  HEALTH SUMMARY
       746  JUL 26,1993  HEALTH SUMMARY
       750  AUG 10,1993  REGISTRATION
       751  AUG 10,1993  REGISTRATION
       752  AUG 10,1993  REGISTRATION
       753  AUG 10,1993  REGISTRATION
       754  AUG 10,1993  REGISTRATION
       755  AUG 10,1993  REGISTRATION
       756  AUG 10,1993  REGISTRATION
       758  AUG 10,1993  REGISTRATION
       760  AUG 10,1993  REGISTRATION
       761  AUG 10,1993  REGISTRATION
       763  AUG 10,1993  REGISTRATION
       764  AUG 10,1993  REGISTRATION
       765  AUG 10,1993  REGISTRATION
       766  AUG 25,1993  INTEGRATED BILLING
       767  AUG 25,1993  REGISTRATION
       768  AUG 25,1993  REGISTRATION
       770  AUG 26,1993  PHARMACY DATA MANAGEMENT
       771  AUG 26,1993  INPATIENT MEDICATIONS
       772  AUG 26,1993  INPATIENT MEDICATIONS
       773  AUG 27,1993  INTEGRATED BILLING
       774  AUG 27,1993  INTEGRATED BILLING
       775  AUG 27,1993  PATIENT DATA EXCHANGE
       776  AUG 27,1993  PATIENT DATA EXCHANGE
       777  AUG 27,1993  PATIENT DATA EXCHANGE
       778  AUG 27,1993  PATIENT DATA EXCHANGE
       779  AUG 27,1993  PATIENT DATA EXCHANGE
       788  SEP 13,1993  REGISTRATION
       789  SEP 13,1993  REGISTRATION
       790  SEP 13,1993  REGISTRATION
       791  SEP 13,1993  REGISTRATION
       792  SEP 13,1993  HINQ
       793  SEP 13,1993  REGISTRATION
       794  SEP 13,1993  INTEGRATED BILLING
       795  SEP 13,1993  REGISTRATION
       796  SEP 13,1993  REGISTRATION
       797  SEP 20,1993  IFCAP
       798  SEP 20,1993  IFCAP
       799  SEP 20,1993  IFCAP
       800  SEP 20,1993  IFCAP
       801  SEP 20,1993  IFCAP
       802  SEP 20,1993  IFCAP
       803  SEP 20,1993  IFCAP
       804  OCT  5,1993  IFCAP
       805  OCT  5,1993  IFCAP
       806  OCT  5,1993  IFCAP
       807  OCT  5,1993  IFCAP
       808  OCT  5,1993  IFCAP
       809  OCT  5,1993  IFCAP
       810  OCT  5,1993  IFCAP
       812  OCT 12,1993  KERNEL
       813  OCT 25,1993  HEALTH SUMMARY
       814  OCT 25,1993  HEALTH SUMMARY
       815  OCT 25,1993  HEALTH SUMMARY
       817  OCT 25,1993  PATIENT DATA EXCHANGE
       818  OCT 25,1993  PATIENT DATA EXCHANGE
       819  OCT 25,1993  PATIENT DATA EXCHANGE
       820  OCT 25,1993  PATIENT DATA EXCHANGE
       821  OCT 25,1993  VA FILEMAN
       823  OCT 25,1993  PHARMACY DATA MANAGEMENT
       828  NOV  1,1993  REGISTRATION
       829  NOV  1,1993  REGISTRATION
       830  NOV  1,1993  VA FILEMAN
       831  NOV  1,1993  IFCAP
       832  NOV  1,1993  IFCAP
       833  NOV  1,1993  VA FILEMAN
       834  NOV  2,1993  VETERANS ADMINISTRATION
       835  DEC 16,1993  KERNEL
       836  DEC 23,1993  REGISTRATION
       837  DEC 23,1993  SCHEDULING
       839  DEC 23,1993  SCHEDULING
       840  JAN 12,1994  VA FILEMAN
       842  JAN 12,1994  VA FILEMAN
       844  JAN 14,1994  LAB SERVICE
       845  JAN 18,1994  SCHEDULING
       846  JAN 31,1994  ORDER ENTRY/RESULTS REPORTING
       847  JAN 31,1994  ORDER ENTRY/RESULTS REPORTING
       848  JAN 31,1994  ORDER ENTRY/RESULTS REPORTING
       849  JAN 31,1994  ORDER ENTRY/RESULTS REPORTING
       850  JAN 31,1994  ORDER ENTRY/RESULTS REPORTING
       851  JAN 31,1994  ORDER ENTRY/RESULTS REPORTING
       852  JAN 31,1994  ORDER ENTRY/RESULTS REPORTING
       854  FEB  4,1994  TOOLKIT
       855  FEB  4,1994  TOOLKIT
       856  FEB  4,1994  TOOLKIT
       861  APR 21,1994  ORDER ENTRY/RESULTS REPORTING
       862  APR 21,1994  ORDER ENTRY/RESULTS REPORTING
       864  APR 21,1994  ORDER ENTRY/RESULTS REPORTING
       865  APR 21,1994  ORDER ENTRY/RESULTS REPORTING
       866  APR 21,1994  ORDER ENTRY/RESULTS REPORTING
       867  JUN 29,1999  ORDER ENTRY/RESULTS REPORTING
       868  APR 21,1994  ORDER ENTRY/RESULTS REPORTING
       869  APR 21,1994  ORDER ENTRY/RESULTS REPORTING
       870  APR 21,1994  ORDER ENTRY/RESULTS REPORTING
       871  APR 21,1994  ORDER ENTRY/RESULTS REPORTING
       872  APR 28,1994  KERNEL
       873  APR 28,1994  ORDER ENTRY/RESULTS REPORTING
       874  APR 28,1994  ORDER ENTRY/RESULTS REPORTING
       875  APR 28,1994  ORDER ENTRY/RESULTS REPORTING
       886  NOV 17,1994  PHARMACY DATA MANAGEMENT
       887  MAY 16,1994  TOOLKIT
       888  MAY 16,1994  VA FILEMAN
       889  MAY 16,1994  VA FILEMAN
       890  MAY 16,1994  TOOLKIT
       891  MAY 16,1994  TOOLKIT
       892  FEB 15,1996  HEALTH SUMMARY
