
INTEGRATION REFERENCES LIST                    MAR 18,2015  11:27    PAGE 1
      IA #  CUSTODIAL PACKAGE
       442  PATIENT DATA EXCHANGE
       448  PCE PATIENT CARE ENCOUNTER
       450  SCHEDULING
       451  SCHEDULING
       453  PROGRESS NOTES
       454  PROGRESS NOTES
       455  PROGRESS NOTES
       466  IMAGING
       467  IMAGING
       468  IMAGING
       469  IMAGING
       473  PHARMACY DATA MANAGEMENT
       474  PHARMACY DATA MANAGEMENT
       477  PHARMACY DATA MANAGEMENT
       478  KERNEL
       481  SCHEDULING
       490  PCE PATIENT CARE ENCOUNTER
       493  SCHEDULING
       494  REGISTRATION
       505  KERNEL
       506  KERNEL
       509  VA FILEMAN
       516  PHARMACY DATA MANAGEMENT
       517  OUTPATIENT PHARMACY
       518  SCHEDULING
       520  LAB SERVICE
       521  LAB SERVICE
       522  PHARMACY DATA MANAGEMENT
       523  OUTPATIENT PHARMACY
       533  PHARMACY DATA MANAGEMENT
       535  PHARMACY DATA MANAGEMENT
       536  PHARMACY DATA MANAGEMENT
       538  PROGRESS NOTES
       552  PHARMACY DATA MANAGEMENT
       553  PHARMACY DATA MANAGEMENT
       556  SCHEDULING
       562  DENTAL
       564  REGISTRATION
       566  OUTPATIENT PHARMACY
       567  PHARMACY DATA MANAGEMENT
       568  PHARMACY DATA MANAGEMENT
       569  SURGERY
       570  NURSING SERVICE
       571  NURSING SERVICE
       572  LAB SERVICE
       573  LAB SERVICE
       574  LAB SERVICE
       575  LAB SERVICE
       576  LAB SERVICE
       577  LAB SERVICE
       578  LAB SERVICE
       579  LAB SERVICE
       580  SCHEDULING
       582  DRG GROUPER
       588  RECORD TRACKING
       589  OUTPATIENT PHARMACY
       591  OUTPATIENT PHARMACY
       595  IFCAP
       597  IFCAP
       598  IFCAP
       605  SCHEDULING
       607  IFCAP
       608  IFCAP
       609  IFCAP
       610  IFCAP
       611  IFCAP
       618  NATIONAL DRUG FILE
       621  OCCURRENCE SCREEN
       622  OCCURRENCE SCREEN
       623  OCCURRENCE SCREEN
       624  OCCURRENCE SCREEN
       632  KERNEL
       634  INPATIENT MEDICATIONS
       647  DRG GROUPER
       648  CPT/HCPCS CODES
       650  REGISTRATION
       659  SCHEDULING
       660  SCHEDULING
       661  SCHEDULING
       662  SCHEDULING
       663  SCHEDULING
       665  SCHEDULING
       666  SCHEDULING
       667  SCHEDULING
       670  SCHEDULING
       671  SCHEDULING
       677  PHARMACY DATA MANAGEMENT
       678  OUTPATIENT PHARMACY
       683  QUALITY IMPROVEMENT CHECKLIST
       693  PHARMACY DATA MANAGEMENT
       695  PHARMACY DATA MANAGEMENT
       697  CPT/HCPCS CODES
       709  MAILMAN
       712  KERNEL
       719  REGISTRATION
       720  REGISTRATION
       721  REGISTRATION
       722  REGISTRATION
       724  REGISTRATION
       725  REGISTRATION
       726  REGISTRATION
       727  REGISTRATION
       735  SCHEDULING
       736  SCHEDULING
       737  SCHEDULING
       739  SCHEDULING
       747  SCHEDULING
       748  SCHEDULING
       749  SCHEDULING
       757  REGISTRATION
       759  REGISTRATION
       769  REGISTRATION
       780  OUTPATIENT PHARMACY
       781  PHARMACY DATA MANAGEMENT
       782  OUTPATIENT PHARMACY
       783  OUTPATIENT PHARMACY
       784  ORDER ENTRY/RESULTS REPORTING
       785  OUTPATIENT PHARMACY
       786  OUTPATIENT PHARMACY
       787  PHARMACY DATA MANAGEMENT
       811  DISCHARGE SUMMARY
       822  NATIONAL DRUG FILE
       824  OUTPATIENT PHARMACY
       825  PHARMACY DATA MANAGEMENT
       826  LAB SERVICE
       827  LAB SERVICE
       838  SCHEDULING
       841  VA FILEMAN
       843  LAB SERVICE
       853  VA FILEMAN
       857  TOOLKIT
       858  KERNEL
       859  VA FILEMAN
       860  KERNEL
       863  ORDER ENTRY/RESULTS REPORTING
       885  OUTPATIENT PHARMACY
       897  INDIAN HEALTH SERVICE
       899  ORDER ENTRY/RESULTS REPORTING
       903  VA FILEMAN
       906  PROGRESS NOTES
       908  SCHEDULING
       910  MAILMAN
       912  VA FILEMAN
       917  VA FILEMAN
       920  OUTPATIENT PHARMACY
       922  PHARMACY DATA MANAGEMENT
       931  CPT/HCPCS CODES
       993  REGISTRATION
       995  PHARMACY DATA MANAGEMENT
      1002  SURGERY
      1007  NATIONAL DRUG FILE
      1008  REGISTRATION
      1009  SCHEDULING
      1010  REGISTRATION
      1012  SCHEDULING
      1018  ORDER ENTRY/RESULTS REPORTING
      1025  SCHEDULING
      1026  SCHEDULING
      1035  MAILMAN
      1042  MAILMAN
      1047  PROGRESS NOTES
      1048  MAILMAN
      1060  OUTPATIENT PHARMACY
      1063  KERNEL
      1065  DRUG ACCOUNTABILITY
      1066  DRUG ACCOUNTABILITY
      1068  MENTAL HEALTH
      1079  OUTPATIENT PHARMACY
      1081  OUTPATIENT PHARMACY
      1082  OUTPATIENT PHARMACY
      1083  PHARMACY PRESCRIPTION PRACTICE
      1084  OUTPATIENT PHARMACY
      1085  PHARMACY PRESCRIPTION PRACTICE
      1086  OUTPATIENT PHARMACY
      1101  SCHEDULING
      1102  SCHEDULING
      1103  SCHEDULING
      1109  SCHEDULING
      1110  VA FILEMAN
      1119  RADIOLOGY/NUCLEAR MEDICINE
      1122  SCHEDULING
      1127  VA FILEMAN
      1140  MAILMAN
      1149  MAILMAN
      1161  DRG GROUPER
      1176  RADIOLOGY/NUCLEAR MEDICINE
      1191  CLINICAL PROCEDURES
      1194  INTEGRATED BILLING
      1195  VA FILEMAN
      1200  VA FILEMAN
      1218  ENGINEERING
      1219  ENGINEERING
      1221  OUTPATIENT PHARMACY
      1222  OUTPATIENT PHARMACY
      1224  PHARMACY DATA MANAGEMENT
      1264  CPT/HCPCS CODES
      1274  CPT/HCPCS CODES
      1275  DRG GROUPER
      1276  DRG GROUPER
      1280  MENTAL HEALTH
      1294  DRG GROUPER
      1295  SCHEDULING
      1304  SCHEDULING
      1305  SCHEDULING
      1316  INDIAN HEALTH SERVICE
      1317  SCHEDULING
      1318  SCHEDULING
      1319  SCHEDULING
      1322  SCHEDULING
      1323  PCE PATIENT CARE ENCOUNTER
      1335  SCHEDULING
      1368  SCHEDULING
      1374  PHARMACY PRESCRIPTION PRACTICE
      1379  KERNEL
      1383  GEN. MED. REC. - VITALS
      1384  GEN. MED. REC. - VITALS
      1405  ORDER ENTRY/RESULTS REPORTING
      1406  MAILMAN
      1416  SCHEDULING
      1427  PHARMACY DATA MANAGEMENT
      1428  INPATIENT MEDICATIONS
      1429  INPATIENT MEDICATIONS
      1471  RADIOLOGY/NUCLEAR MEDICINE
      1474  SCHEDULING
      1477  SCHEDULING
      1478  SCHEDULING
      1482  SCHEDULING
      1486  SCHEDULING
      1487  DRG GROUPER
      1488  CPT/HCPCS CODES
      1506  LAB SERVICE
      1512  LEXICON UTILITY
      1514  ORDER ENTRY/RESULTS REPORTING
      1532  CPT/HCPCS CODES
      1536  GEN. MED. REC. - VITALS
      1537  GEN. MED. REC. - I/O
      1548  KERNEL
      1562  EVENT CAPTURE
      1567  HEALTH LEVEL SEVEN
      1577  LEXICON UTILITY
      1580  SCHEDULING
      1581  SCHEDULING
      1582  SCHEDULING
      1583  SCHEDULING
      1584  SCHEDULING
      1586  DRG GROUPER
      1588  SCHEDULING
      1591  SCHEDULING
      1626  RPC BROKER
      1627  RPC BROKER
      1628  RPC BROKER
      1745  RPC BROKER
      1746  RPC BROKER
      1747  RPC BROKER
      1748  RPC BROKER
      1749  RPC BROKER
      1750  RPC BROKER
      1846  SCHEDULING
      1862  DENTAL
      1866  REGISTRATION
      1868  SCHEDULING
      1871  EVENT CAPTURE
      1879  INPATIENT MEDICATIONS
      1881  PHARMACY DATA MANAGEMENT
      1883  PHARMACY DATA MANAGEMENT
      1952  LAB SERVICE
      1959  LAB SERVICE
      1961  PHARMACY DATA MANAGEMENT
      1975  OUTPATIENT PHARMACY
      1976  OUTPATIENT PHARMACY
      1977  OUTPATIENT PHARMACY
      1981  PHARMACY DATA MANAGEMENT
      1982  PHARMACY DATA MANAGEMENT
      1993  SCHEDULING
      1999  CLINICAL PROCEDURES
      2000  CLINICAL PROCEDURES
      2009  CLINICAL PROCEDURES
      2016  NATIONAL DRUG FILE
      2020  OUTPATIENT PHARMACY
      2025  SCHEDULING
      2026  SCHEDULING
      2046  SCHEDULING
      2047  SCHEDULING
      2073  QUALITY ASSURANCE INTEGRATION
      2089  SCHEDULING
      2210  LAB SERVICE
      2222  PHARMACY DATA MANAGEMENT
      2234  REGISTRATION
      2254  PHARMACY DATA MANAGEMENT
      2352  PHARMACY DATA MANAGEMENT
      2367  PHARMACY DATA MANAGEMENT
      2372  SCHEDULING
      2393  NATIONAL DRUG FILE
      2394  NATIONAL DRUG FILE
      2396  PHARMACY DATA MANAGEMENT
      2416  PHARMACY DATA MANAGEMENT
      2431  SCHEDULING
      2435  DRG GROUPER
      2436  DRG GROUPER
      2439  SCHEDULING
      2459  FEE BASIS
      2466  LAB SERVICE
      2468  SCHEDULING
      2470  PHARMACY DATA MANAGEMENT
      2471  OUTPATIENT PHARMACY
      2472  NATIONAL DRUG FILE
      2473  NATIONAL DRUG FILE
      2475  PHARMACY DATA MANAGEMENT
      2511  OUTPATIENT PHARMACY
      2512  OUTPATIENT PHARMACY
      2513  OUTPATIENT PHARMACY
      2525  HEALTH LEVEL SEVEN
      2579  SCHEDULING
      2580  SCHEDULING
      2587  RADIOLOGY/NUCLEAR MEDICINE
      2591  SCHEDULING
      2595  LAB SERVICE
      2621  OUTPATIENT PHARMACY
      2634  RADIOLOGY/NUCLEAR MEDICINE
      2637  CLINICAL INFO RESOURCE NETWORK
      2639  CLINICAL INFO RESOURCE NETWORK
      2646  CLINICAL INFO RESOURCE NETWORK
      2669  SCHEDULING
      2674  LAB SERVICE
      2680  OUTPATIENT PHARMACY
      2682  PHARMACY DATA MANAGEMENT
      2704  MASTER PATIENT INDEX VISTA
      2705  MASTER PATIENT INDEX VISTA
      2717  CLINICAL INFO RESOURCE NETWORK
      2725  RADIOLOGY/NUCLEAR MEDICINE
      2765  FEE BASIS
      2775  CLINICAL INFO RESOURCE NETWORK
      2776  CLINICAL INFO RESOURCE NETWORK
      2792  CLINICAL INFO RESOURCE NETWORK
      2793  EXTENSIBLE EDITOR
      2794  EXTENSIBLE EDITOR
      2797  EXTENSIBLE EDITOR
      2798  REGISTRATION
      2799  HEALTH SUMMARY
      2815  CPT/HCPCS CODES
      2822  SCHEDULING
      2850  SCHEDULING
      2852  VA FILEMAN
      2898  MASTER PATIENT INDEX VISTA
      2905  OUTPATIENT PHARMACY
      2906  OUTPATIENT PHARMACY
      2908  PHARMACY DATA MANAGEMENT
      2917  TOOLKIT
      2989  VA FILEMAN
      3024  VA FILEMAN
      3025  CPT/HCPCS CODES
      3026  CPT/HCPCS CODES
      3077  PHARMACY DATA MANAGEMENT
      3111  NATIONAL DRUG FILE
      3136  PHARMACY DATA MANAGEMENT
      3138  CLINICAL PROCEDURES
      3150  VA FILEMAN
      3182  VBECS
      3183  VBECS
      3184  VBECS
      3185  VBECS
      3186  VBECS
      3187  VBECS
      3188  VBECS
      3189  VBECS
      3226  KERNEL
      3271  PHARMACY DATA MANAGEMENT
      3274  HINQ
      3276  INTEGRATED BILLING
      3306  SCHEDULING
      3307  VA FILEMAN
      3309  SCHEDULING
      3312  SCHEDULING
      3313  SCHEDULING
      3316  VA FILEMAN
      3322  RADIOLOGY/NUCLEAR MEDICINE
      3334  KERNEL
      3338  REGISTRATION
      3398  SCHEDULING
      3419  SCHEDULING
      3479  RECORD TRACKING
      3573  HEALTH LEVEL SEVEN
      3576  CONSULT/REQUEST TRACKING
      3592  VA FILEMAN
      3645  CPT/HCPCS CODES
      3738  CLINICAL REMINDERS
      3743  CLINICAL REMINDERS
      3747  CLINICAL REMINDERS
      3752  CLINICAL REMINDERS
      3753  CLINICAL REMINDERS
      3756  CLINICAL REMINDERS
      3757  CLINICAL REMINDERS
      3758  CLINICAL REMINDERS
      3759  CLINICAL REMINDERS
      3760  CLINICAL REMINDERS
      3761  CLINICAL REMINDERS
      3769  CLINICAL REMINDERS
      3770  CLINICAL REMINDERS
      3772  CLINICAL REMINDERS
      3773  CLINICAL REMINDERS
      3785  PHARMACY DATA MANAGEMENT
      3792  OUTPATIENT PHARMACY
      3801  CLINICAL REMINDERS
      3802  CLINICAL REMINDERS
      3970  HEALTH SUMMARY
      3984  FEE BASIS
      4049  INTEGRATED BILLING
      4181  PHARMACY DATA MANAGEMENT
      4182  OUTPATIENT PHARMACY
      4223  OUTPATIENT PHARMACY
      4263  ADVERSE REACTION TRACKING
      4267  REGISTRATION
      4268  PCE PATIENT CARE ENCOUNTER
      4269  HEALTH LEVEL SEVEN
      4270  TEXT INTEGRATION UTILITIES
      4272  LAB SERVICE
      4273  GEN. MED. REC. - VITALS
      4274  KERNEL
      4275  OUTPATIENT PHARMACY
      4276  MENTAL HEALTH
      4277  PROBLEM LIST
      4278  RADIOLOGY/NUCLEAR MEDICINE
      4279  BAR CODE MED ADMIN
      4300  E CLAIMS MGMT ENGINE
      4301  E CLAIMS MGMT ENGINE
      4302  OUTPATIENT PHARMACY
      4303  OUTPATIENT PHARMACY
      4305  E CLAIMS MGMT ENGINE
      4379  VA FILEMAN
      4393  REGISTRATION
      4413  E CLAIMS MGMT ENGINE
      4438  REGISTRATION
      4451  GEN. MED. REC. - VITALS
      4483  PHARMACY DATA MANAGEMENT
      4484  PHARMACY DATA MANAGEMENT
      4500  E CLAIMS MGMT ENGINE
      4583  GEN. MED. REC. - VITALS
      4601  PCE PATIENT CARE ENCOUNTER
      4699  INTEGRATED BILLING
      4700  INTEGRATED BILLING
      4703  OUTPATIENT PHARMACY
      4772  INTEGRATED BILLING
      4776  CPT/HCPCS CODES
      4958  KERNEL
      4959  KERNEL
      5028  DRG GROUPER
      5055  MENTAL HEALTH
      5185  INTEGRATED BILLING
      5525  INTEGRATED BILLING
      5623  NATIONAL HEALTH INFO NETWORK
      5849  PCE PATIENT CARE ENCOUNTER
      5868  ORDER ENTRY/RESULTS REPORTING
      5908  CPT/HCPCS CODES
     10041  SCHEDULING
     10043  PHARMACY DATA MANAGEMENT
     10049  KERNEL
     10059  VETERANS ADMINISTRATION
     10082  DRG GROUPER
     10083  DRG GROUPER
     10084  CPT/HCPCS CODES
     10087  KERNEL
     10145  INTEGRATED BILLING
     10146  INTEGRATED BILLING
     10148  LEXICON UTILITY





